claim_id,section,bucket,claim,source,verification,note,support_type,public_status,display_rank,headline_rank,subgroup,source_tier,public_claim,review_note,date_sensitive,last_reviewed
W5-03,Global Scarcity,Climate-reframed,80% US water consumed by agriculture,USDA,USDA water consumption stats,Existing site claim carried forward into the revised register.,direct,approved,3,,Freshwater Demand,institutional,80% US water consumed by agriculture,Institutional-source claim cleared for public review.,no,2026-04-02
W5-04,Global Scarcity,Climate-reframed,71% of aquifers declining (2000–2022),"Jasechko & Perrone 2024, Nature",DOI: 10.1038/s41586-024-07320-8,Existing site claim carried forward into the revised register.,direct,approved,4,2,Aquifer Decline,primary,71% of aquifers declining (2000–2022),Primary-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
W5-05,Global Scarcity,Climate-reframed,"71% of 1,700 aquifers dropping",Jasechko & Perrone 2024,DOI: 10.1038/s41586-024-07320-8,Existing site claim carried forward into the revised register.,direct,approved,5,,Aquifer Decline,primary,"71% of 1,700 aquifers dropping",Primary-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
W5-06,Global Scarcity,Climate-reframed,+125% extraction increase in 40 years,Global extraction data,Jasechko & Perrone 2024,Existing site claim carried forward into the revised register.,direct,approved,6,,Aquifer Decline,institutional,+125% extraction increase in 40 years,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
W5-07,Global Scarcity,Climate-reframed,4B people affected by water scarcity,WMO / UN Water,WMO Global Water Resources,Existing site claim carried forward into the revised register.,direct,approved,7,,Human Exposure,institutional,4B people affected by water scarcity,Institutional-source claim cleared for public review.,no,2026-04-02
W5-08,Global Scarcity,Climate-reframed,Depletion: 126 (1960s) to 178 (1990s) to 283 km³/yr (2000s),Global extraction records,Jasechko & Perrone 2024,Existing site claim carried forward into the revised register.,direct,approved,8,,Aquifer Decline,institutional,Depletion: 126 (1960s) to 178 (1990s) to 283 km³/yr (2000s),Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
W5-09,Global Scarcity,Climate-reframed,5B facing scarcity by 2050,WMO,WMO 5B projection,Existing site claim carried forward into the revised register.,direct,approved,9,3,Human Exposure,institutional,5B facing scarcity by 2050,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
W5-10,Global Scarcity,Climate-reframed,4B face severe scarcity 1+ month/year,WMO / UN Water,Current stress data,Existing site claim carried forward into the revised register.,direct,approved,10,,Human Exposure,institutional,4B face severe scarcity 1+ month/year,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
W5-11,Global Scarcity,Climate-reframed,56% more food calories needed by 2050,WMO / FAO,FAO State of Food & Agriculture,Existing site claim carried forward into the revised register.,direct,approved,11,,Human Exposure,institutional,56% more food calories needed by 2050,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
W5-12,Global Scarcity,Climate-reframed,"Critical aquifers: Arabian, Ogallala, Indus, N. China, CV",USGS / global assessments,Ranked by depletion severity,Existing site claim carried forward into the revised register.,direct,approved,12,,Aquifer Decline,institutional,"Critical aquifers: Arabian, Ogallala, Indus, N. China, CV",Institutional-source claim cleared for public review.,no,2026-04-02
W5-13,Global Scarcity,Climate-reframed,2050 gap: food demand vs freshwater = 94 points,Indexed to 2000 baseline (100),"Calories +56, freshwater per capita -38",Existing site claim carried forward into the revised register.,direct,approved,13,,Human Exposure,institutional,2050 gap: food demand vs freshwater = 94 points,Institutional-source claim cleared for public review. Refresh on the underlying reporting cycle.,yes,2026-04-02
